order_id,customer_id,product_id,order_date,quantity,payment_mode,product_name,category,price,cost_price,customer_name,gender,age,city,state,Sales,Profit
O00001,C144,P049,2026-04-15,2,Cash,Home Appliance Item 49,Home Appliance,45351,39106,ACustomer144,Male,22,Hyderabad,Telangana,90702,12490
O00002,C145,P161,2025-02-22,3,Cash,Home Appliance Item 161,Home Appliance,63344,48126,SCustomer145,Female,26,Hyderabad,Telangana,190032,45654
O00003,C130,P138,2025-01-06,2,Debit Card,Books Item 138,Books,48786,34683,ACustomer130,Male,27,Bengaluru,Karnataka,97572,28206
O00004,C015,P122,2025-03-29,5,UPI,Sports Item 122,Sports,58505,46806,SCustomer15,Female,52,Mumbai,Maharashtra,292525,58495
O00005,C192,P073,2025-03-30,5,Net Banking,Furniture Item 73,Furniture,10911,7615,ACustomer192,Male,44,Kochi,Kerala,54555,16480
O00006,C363,P178,2025-07-03,4,UPI,Furniture Item 178,Furniture,10135,7469,SCustomer363,Female,53,Chennai,Tamil Nadu,40540,10664
O00007,C111,P126,2025-12-17,2,Credit Card,Fashion Item 126,Fashion,51181,34936,ACustomer111,Male,45,Hyderabad,Telangana,102362,32490
O00008,C226,P111,2026-06-08,4,UPI,Furniture Item 111,Furniture,4094,2875,SCustomer226,Female,34,Chennai,Tamil Nadu,16376,4876
O00009,C200,P136,2025-11-19,2,Cash,Furniture Item 136,Furniture,31639,25753,ACustomer200,Male,46,Mumbai,Maharashtra,63278,11772
O00010,C089,P116,2025-12-12,3,Credit Card,Sports Item 116,Sports,65035,47042,SCustomer89,Female,58,Kochi,Kerala,195105,53979
O00011,C422,P196,2026-02-20,1,Cash,Electronics Item 196,Electronics,26598,18966,ACustomer422,Male,45,Bengaluru,Karnataka,26598,7632
O00012,C066,P084,2025-03-04,3,Net Banking,Home Appliance Item 84,Home Appliance,22260,16800,ACustomer66,Male,35,Mumbai,Maharashtra,66780,16380
O00013,C350,P059,2025-05-28,4,Net Banking,Home Appliance Item 59,Home Appliance,42684,32315,SCustomer350,Female,48,Kochi,Kerala,170736,41476
O00014,C459,P194,2025-07-31,1,Net Banking,Electronics Item 194,Electronics,45472,33290,ACustomer459,Male,22,Bengaluru,Karnataka,45472,12182
O00015,C440,P112,2025-11-23,1,UPI,Home Appliance Item 112,Home Appliance,14165,10421,ACustomer440,Male,28,Hyderabad,Telangana,14165,3744
O00016,C467,P114,2025-12-18,4,Cash,Sports Item 114,Sports,36686,28813,ACustomer467,Male,45,Mumbai,Maharashtra,146744,31492
O00017,C498,P016,2026-02-27,4,Credit Card,Fashion Item 16,Fashion,61802,49617,ACustomer498,Male,39,Chennai,Tamil Nadu,247208,48740
O00018,C027,P100,2025-08-18,4,Cash,Home Appliance Item 100,Home Appliance,57759,48085,ACustomer27,Male,57,Mumbai,Maharashtra,231036,38696
O00019,C225,P107,2026-01-15,2,Credit Card,Sports Item 107,Sports,50529,43614,SCustomer225,Female,31,Kochi,Kerala,101058,13830
O00020,C218,P012,2025-11-10,4,Credit Card,Sports Item 12,Sports,71290,49914,ACustomer218,Male,34,Mumbai,Maharashtra,285160,85504
O00021,C093,P012,2025-10-12,5,UPI,Sports Item 12,Sports,71290,49914,SCustomer93,Female,42,Bengaluru,Karnataka,356450,106880
O00022,C304,P088,2026-02-05,4,UPI,Furniture Item 88,Furniture,7451,5764,ACustomer304,Male,28,Bengaluru,Karnataka,29804,6748
O00023,C141,P068,2025-10-28,2,Debit Card,Home Appliance Item 68,Home Appliance,9831,6768,ACustomer141,Male,31,Mumbai,Maharashtra,19662,6126
O00024,C121,P183,2026-02-10,3,UPI,Electronics Item 183,Electronics,27007,22387,ACustomer121,Male,38,Chennai,Tamil Nadu,81021,13860
O00025,C157,P132,2025-08-18,3,UPI,Books Item 132,Books,67107,48821,SCustomer157,Female,56,Hyderabad,Telangana,201321,54858
O00026,C467,P106,2025-06-10,4,Net Banking,Sports Item 106,Sports,27667,19737,ACustomer467,Male,45,Mumbai,Maharashtra,110668,31720
O00027,C243,P105,2026-06-19,4,Debit Card,Fashion Item 105,Fashion,22080,15092,SCustomer243,Female,60,Bengaluru,Karnataka,88320,27952
O00028,C189,P038,2025-03-26,4,UPI,Books Item 38,Books,16684,13023,ACustomer189,Male,54,Hyderabad,Telangana,66736,14644
O00029,C008,P112,2026-06-08,3,Cash,Home Appliance Item 112,Home Appliance,14165,10421,SCustomer8,Female,51,Bengaluru,Karnataka,42495,11232
O00030,C400,P126,2026-04-19,5,Credit Card,Fashion Item 126,Fashion,51181,34936,ACustomer400,Male,52,Chennai,Tamil Nadu,255905,81225
O00031,C049,P035,2026-05-26,5,UPI,Books Item 35,Books,56133,45192,SCustomer49,Female,22,Hyderabad,Telangana,280665,54705
O00032,C473,P039,2026-04-08,3,Credit Card,Sports Item 39,Sports,42823,29643,ACustomer473,Male,25,Hyderabad,Telangana,128469,39540
O00033,C417,P099,2025-05-09,4,UPI,Home Appliance Item 99,Home Appliance,17879,13235,ACustomer417,Male,32,Bengaluru,Karnataka,71516,18576
O00034,C088,P056,2025-08-02,3,Credit Card,Sports Item 56,Sports,40795,33222,ACustomer88,Male,41,Chennai,Tamil Nadu,122385,22719
O00035,C039,P115,2025-07-07,1,UPI,Furniture Item 115,Furniture,32404,23401,ACustomer39,Male,43,Hyderabad,Telangana,32404,9003
O00036,C163,P058,2025-10-07,4,Credit Card,Fashion Item 58,Fashion,26718,21504,ACustomer163,Male,54,Kochi,Kerala,106872,20856
O00037,C407,P024,2026-04-10,3,Net Banking,Home Appliance Item 24,Home Appliance,21047,15561,ACustomer407,Male,50,Bengaluru,Karnataka,63141,16458
O00038,C153,P071,2025-02-27,1,Credit Card,Books Item 71,Books,19165,13468,SCustomer153,Female,56,Kochi,Kerala,19165,5697
O00039,C047,P076,2025-08-10,2,Debit Card,Furniture Item 76,Furniture,23252,16280,SCustomer47,Female,31,Chennai,Tamil Nadu,46504,13944
O00040,C255,P187,2025-06-05,3,UPI,Fashion Item 187,Fashion,27649,18759,ACustomer255,Male,52,Bengaluru,Karnataka,82947,26670
O00041,C299,P108,2026-02-20,2,UPI,Books Item 108,Books,46462,32448,ACustomer299,Male,55,Mumbai,Maharashtra,92924,28028
O00042,C166,P157,2025-01-28,1,Debit Card,Electronics Item 157,Electronics,49050,36784,SCustomer166,Female,60,Chennai,Tamil Nadu,49050,12266
O00043,C182,P091,2025-07-12,3,Credit Card,Electronics Item 91,Electronics,56070,41903,ACustomer182,Male,37,Hyderabad,Telangana,168210,42501
O00044,C434,P031,2025-03-18,4,Net Banking,Electronics Item 31,Electronics,18306,12965,SCustomer434,Female,52,Chennai,Tamil Nadu,73224,21364
O00045,C427,P133,2026-04-29,3,Net Banking,Sports Item 133,Sports,33768,23473,SCustomer427,Female,21,Bengaluru,Karnataka,101304,30885
O00046,C417,P069,2026-05-10,5,Cash,Electronics Item 69,Electronics,10674,7340,ACustomer417,Male,32,Bengaluru,Karnataka,53370,16670
O00047,C448,P072,2025-03-22,3,Debit Card,Electronics Item 72,Electronics,57803,49703,SCustomer448,Female,22,Mumbai,Maharashtra,173409,24300
O00048,C317,P099,2025-08-03,1,Cash,Home Appliance Item 99,Home Appliance,17879,13235,SCustomer317,Female,40,Bengaluru,Karnataka,17879,4644
O00049,C447,P025,2026-04-27,3,Net Banking,Home Appliance Item 25,Home Appliance,14790,10193,ACustomer447,Male,39,Hyderabad,Telangana,44370,13791
O00050,C279,P064,2025-04-10,4,Debit Card,Electronics Item 64,Electronics,31448,21707,SCustomer279,Female,32,Chennai,Tamil Nadu,125792,38964
O00051,C079,P035,2025-06-12,3,Cash,Books Item 35,Books,56133,45192,SCustomer79,Female,59,Mumbai,Maharashtra,168399,32823
O00052,C470,P153,2025-04-22,4,UPI,Electronics Item 153,Electronics,26809,19464,SCustomer470,Female,52,Mumbai,Maharashtra,107236,29380
O00053,C462,P037,2025-01-24,5,UPI,Sports Item 37,Sports,29929,21741,ACustomer462,Male,37,Kochi,Kerala,149645,40940
O00054,C471,P136,2025-11-20,1,Cash,Furniture Item 136,Furniture,31639,25753,SCustomer471,Female,50,Kochi,Kerala,31639,5886
O00055,C150,P023,2026-04-09,2,Cash,Electronics Item 23,Electronics,27544,22819,SCustomer150,Female,27,Bengaluru,Karnataka,55088,9450
O00056,C235,P138,2026-01-30,3,Debit Card,Books Item 138,Books,48786,34683,ACustomer235,Male,43,Kochi,Kerala,146358,42309
O00057,C011,P132,2026-03-16,2,Net Banking,Books Item 132,Books,67107,48821,SCustomer11,Female,42,Kochi,Kerala,134214,36572
O00058,C032,P084,2025-06-10,2,Debit Card,Home Appliance Item 84,Home Appliance,22260,16800,ACustomer32,Male,29,Hyderabad,Telangana,44520,10920
O00059,C188,P104,2025-04-20,4,Debit Card,Electronics Item 104,Electronics,4238,3409,SCustomer188,Female,37,Mumbai,Maharashtra,16952,3316
O00060,C435,P046,2026-06-25,1,Cash,Furniture Item 46,Furniture,69654,47246,SCustomer435,Female,44,Kochi,Kerala,69654,22408
O00061,C333,P146,2025-09-26,5,Debit Card,Books Item 146,Books,25180,18308,ACustomer333,Male,55,Mumbai,Maharashtra,125900,34360
O00062,C280,P104,2025-12-13,4,UPI,Electronics Item 104,Electronics,4238,3409,SCustomer280,Female,37,Chennai,Tamil Nadu,16952,3316
O00063,C382,P115,2025-02-27,1,Cash,Furniture Item 115,Furniture,32404,23401,ACustomer382,Male,52,Kochi,Kerala,32404,9003
O00064,C329,P134,2026-02-10,4,Net Banking,Sports Item 134,Sports,67125,47000,ACustomer329,Male,53,Chennai,Tamil Nadu,268500,80500
O00065,C309,P036,2026-05-18,2,UPI,Books Item 36,Books,38759,29174,SCustomer309,Female,46,Bengaluru,Karnataka,77518,19170
O00066,C162,P052,2025-02-01,5,Credit Card,Home Appliance Item 52,Home Appliance,54859,42945,SCustomer162,Female,28,Kochi,Kerala,274295,59570
O00067,C387,P047,2025-02-02,2,Net Banking,Sports Item 47,Sports,25617,20357,SCustomer387,Female,59,Mumbai,Maharashtra,51234,10520
O00068,C475,P137,2025-12-27,5,Net Banking,Furniture Item 137,Furniture,55425,37971,SCustomer475,Female,53,Mumbai,Maharashtra,277125,87270
O00069,C007,P194,2025-11-17,3,Cash,Electronics Item 194,Electronics,45472,33290,ACustomer7,Male,21,Bengaluru,Karnataka,136416,36546
O00070,C089,P150,2025-07-24,5,Credit Card,Sports Item 150,Sports,13799,11541,SCustomer89,Female,58,Kochi,Kerala,68995,11290
O00071,C079,P168,2025-06-30,5,Credit Card,Sports Item 168,Sports,37694,25671,SCustomer79,Female,59,Mumbai,Maharashtra,188470,60115
O00072,C388,P071,2026-02-04,1,Cash,Books Item 71,Books,19165,13468,ACustomer388,Male,42,Kochi,Kerala,19165,5697
O00073,C291,P077,2026-03-05,3,UPI,Fashion Item 77,Fashion,5906,4559,SCustomer291,Female,34,Hyderabad,Telangana,17718,4041
O00074,C163,P130,2025-06-30,2,Debit Card,Fashion Item 130,Fashion,25757,18615,ACustomer163,Male,54,Kochi,Kerala,51514,14284
O00075,C025,P142,2025-09-17,4,Cash,Home Appliance Item 142,Home Appliance,44772,30387,ACustomer25,Male,31,Chennai,Tamil Nadu,179088,57540
O00076,C005,P181,2025-06-10,2,Cash,Electronics Item 181,Electronics,35750,26728,ACustomer5,Male,52,Chennai,Tamil Nadu,71500,18044
O00077,C492,P127,2025-11-30,5,Cash,Fashion Item 127,Fashion,21596,16246,SCustomer492,Female,41,Bengaluru,Karnataka,107980,26750
O00078,C492,P197,2025-06-29,1,UPI,Sports Item 197,Sports,23428,19065,SCustomer492,Female,41,Bengaluru,Karnataka,23428,4363
O00079,C393,P046,2026-01-31,4,UPI,Furniture Item 46,Furniture,69654,47246,SCustomer393,Female,22,Hyderabad,Telangana,278616,89632
O00080,C209,P150,2025-04-22,4,Cash,Sports Item 150,Sports,13799,11541,ACustomer209,Male,23,Hyderabad,Telangana,55196,9032
O00081,C120,P193,2025-10-10,4,Cash,Home Appliance Item 193,Home Appliance,7928,6529,ACustomer120,Male,46,Kochi,Kerala,31712,5596
